season,tour,start_date,end_date,player,round,statistic,measure,value
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Eagles,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Eagles,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Birdies,tvalue,9
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Birdies,tvalue,9
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Pars,tvalue,16
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Pars,tvalue,16
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Bogeys,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Bogeys,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Doubles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Doubles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Other,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Other,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Scrambling,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Scrambling,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Penalties,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Penalties,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Driving Distance Avg,tvalue,315.6
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Driving Distance Avg,tvalue,315.6
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Fairways Hit,tvalue,0.9
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Fairways Hit,tvalue,0.9
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,1,Fairway Opportunities,tvalue,20
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Nick Taylor,2,Fairway Opportunities,tvalue,20
